Designator,Mid X,Mid Y,Layer,Rotation
C1,119.5000mm,-141.0000mm,Top,270
C2,124.5000mm,-154.5000mm,Top,180
C3,121.0000mm,-141.0000mm,Top,270
C4,124.0000mm,-138.0000mm,Top,0
C5,119.0000mm,-145.2500mm,Top,90
C6,36.3000mm,-149.5000mm,Top,0
C7,36.3000mm,-143.5000mm,Top,180
C8,21.8000mm,-151.0000mm,Top,270
C9,21.0000mm,-111.0000mm,Top,0
D1,141.0000mm,-74.0000mm,Top,270
D2,141.0000mm,-63.0000mm,Top,90
D3,166.0000mm,-74.0000mm,Top,270
J1,106.0000mm,-156.0000mm,Top,270
J2,123.9100mm,-7.3700mm,Top,180
J3,158.0000mm,-149.0000mm,Top,90
J4,29.2500mm,-129.4000mm,Top,270
J5,55.5000mm,-11.5000mm,Top,180
J7,74.5000mm,-11.5000mm,Top,180
M1,14.0000mm,-98.0000mm,Top,0
M2,14.0000mm,-88.5000mm,Top,0
R1,83.2000mm,-126.0000mm,Top,270
R10,130.0000mm,-146.5000mm,Top,90
R11,130.0000mm,-149.5000mm,Top,90
R12,130.2500mm,-141.0000mm,Top,90
R13,131.5000mm,-149.5000mm,Top,270
R14,51.0000mm,-126.0000mm,Top,270
R15,64.0000mm,-126.0000mm,Top,270
R16,139.0000mm,-74.0000mm,Top,270
R17,139.0000mm,-63.0000mm,Top,90
R18,168.0000mm,-74.0000mm,Top,270
R19,62.5000mm,-126.0000mm,Top,270
R2,100.2000mm,-126.0000mm,Top,270
R20,47.5000mm,-126.0000mm,Top,90
R21,19.7500mm,-115.2500mm,Top,0
R22,16.5000mm,-115.2500mm,Top,180
R23,15.0000mm,-103.5000mm,Top,180
R24,15.0000mm,-93.5000mm,Top,180
R3,85.0000mm,-126.0000mm,Top,270
R4,98.6000mm,-126.0000mm,Top,270
R5,118.0000mm,-141.0000mm,Top,90
R6,49.2000mm,-126.0000mm,Top,270
R7,66.0000mm,-126.0000mm,Top,270
R8,131.7500mm,-141.0000mm,Top,90
R9,133.2500mm,-141.0000mm,Top,90
U1,28.5000mm,-145.7000mm,Top,90
U2,19.0000mm,-106.0000mm,Top,90
U4,124.0000mm,-149.0000mm,Top,270
W1,108.0000mm,-126.0000mm,Top,270
W2,91.0000mm,-126.0000mm,Top,270
W3,74.0000mm,-126.0000mm,Top,270
W4,57.0000mm,-126.0000mm,Top,270
Y1,124.0000mm,-141.0000mm,Top,0
Y2,36.3000mm,-146.5000mm,Top,90
