Designator,Mid X,Mid Y,Layer,Rotation
C1,133.0500mm,-73.1500mm,Top,270
C2,134.5500mm,-73.1500mm,Top,270
C3,137.5500mm,-73.1500mm,Top,270
C4,136.0500mm,-73.1500mm,Top,270
C5,173.4000mm,-86.0000mm,Top,0
C6,166.8500mm,-72.9000mm,Top,180
C7,121.8000mm,-90.6000mm,Top,270
C8,172.6000mm,-73.9000mm,Top,0
D1,96.6000mm,-72.8000mm,Top,90
D2,95.0000mm,-72.8000mm,Top,90
D3,91.8000mm,-72.8000mm,Top,90
D4,98.2000mm,-72.8000mm,Top,90
D5,93.4000mm,-72.8000mm,Top,90
K1,115.9500mm,-79.6000mm,Top,0
R1,98.2000mm,-76.0000mm,Top,90
R11,96.6000mm,-76.0000mm,Top,90
R16,117.0000mm,-90.6000mm,Top,270
R17,115.4000mm,-90.6000mm,Top,270
R2,93.4000mm,-76.0000mm,Top,90
R3,158.5500mm,-99.8750mm,Top,270
R4,95.0000mm,-76.0000mm,Top,90
R5,167.1320mm,-70.8660mm,Bottom,180
R6,91.8000mm,-76.0250mm,Top,90
R8,120.2000mm,-90.6000mm,Top,270
R9,118.6000mm,-90.6000mm,Top,270
U1,172.0000mm,-81.4000mm,Bottom,90
U2,180.0000mm,-70.0000mm,Top,180
U3,169.7500mm,-79.7000mm,Top,90
X2,149.5900mm,-73.0400mm,Top,0
X3,149.9900mm,-106.9600mm,Top,0
